                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9761,                0.51317,                 1.0547,                0.97975,                0.99167,                0.99467,                0.65913,                 1.1974,                0.52014,                 1.1884,             0.00049529,             0.00049529,             0.00049529
                     36,                0.96812,                0.50664,                 1.0442,                0.98858,                0.99167,                0.99467,                 0.6718,                 1.1905,                0.50395,                  1.205,               0.000467,               0.000467,               0.000467
                     37,                0.95853,                 0.5001,                  1.046,                      1,                0.99085,                  0.995,                0.64347,                 1.2088,                0.50672,                 1.2117,              0.0004387,              0.0004387,              0.0004387
                     38,                0.94503,                0.49372,                 1.0399,                0.99808,                0.99167,                  0.995,                0.67523,                 1.1965,                0.47172,                 1.2143,             0.00041041,             0.00041041,             0.00041041
                     39,                0.93095,                 0.4837,                 1.0388,                0.99896,                0.99167,                  0.995,                0.68734,                 1.1397,                0.48066,                 1.1797,             0.00038211,             0.00038211,             0.00038211
                     40,                0.94549,                0.49128,                 1.0417,                0.99913,                0.99167,                  0.995,                 0.6788,                 1.1635,                0.48535,                 1.1823,             0.00035382,             0.00035382,             0.00035382
                     41,                 0.9023,                0.44246,                 1.0207,                0.99893,                0.99167,                  0.995,                0.65329,                  1.183,                0.49405,                 1.2051,             0.00032553,             0.00032553,             0.00032553
                     42,                0.88722,                0.42846,                 1.0173,                0.99816,                0.99167,                  0.995,                0.68511,                 1.1604,                 0.4801,                  1.197,             0.00029723,             0.00029723,             0.00029723
                     43,                0.88681,                 0.4245,                 1.0188,                0.99805,                0.99167,                  0.995,                0.66237,                 1.2463,                0.48046,                 1.2561,             0.00026894,             0.00026894,             0.00026894
                     44,                0.86621,                0.41944,                 1.0047,                0.99107,                0.99167,                0.99492,                0.67159,                 1.1966,                0.46832,                 1.2199,             0.00024064,             0.00024064,             0.00024064
                     45,                0.86558,                0.41843,                 1.0056,                0.99894,                      1,                  0.995,                0.69138,                 1.1596,                0.44898,                 1.1934,             0.00021235,             0.00021235,             0.00021235
                     46,                0.85052,                 0.4094,                0.99848,                0.99953,                      1,                  0.995,                0.66134,                 1.1683,                0.45842,                 1.1921,             0.00018406,             0.00018406,             0.00018406
                     47,                 0.8457,                0.40599,                0.99536,                0.99885,                0.99167,                  0.995,                 0.6917,                 1.1638,                0.44519,                 1.1991,             0.00015576,             0.00015576,             0.00015576
                     48,                0.83943,                0.40811,                0.99718,                0.99879,                0.99167,                  0.995,                0.69964,                 1.1486,                0.45937,                 1.1768,             0.00012747,             0.00012747,             0.00012747
                     49,                0.82663,                0.40253,                0.99006,                      1,                0.99748,                  0.995,                0.69366,                 1.1615,                0.45383,                 1.1927,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.82901,                0.40172,                0.98897,                      1,                0.98886,                  0.995,                0.70015,                 1.1504,                0.45626,                 1.1822,             7.0878e-05,             7.0878e-05,             7.0878e-05
