                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0403,                  3.714,                 2.5052,                0.01604,                0.74167,                0.01976,                0.00477,                 2.9931,                 3.5592,                 2.2361,             0.00046717,             0.00046717,             0.00046717
                      2,                 2.2241,                 2.2311,                 1.8713,                0.01601,                0.33333,                0.04626,                0.00835,                 3.5999,                 3.7632,                 2.8065,             0.00092482,             0.00092482,             0.00092482
                      3,                  1.964,                 1.6913,                 1.6622,                0.85955,                0.76498,                0.89532,                0.44768,                  1.664,                  1.407,                 1.4602,              0.0013636,              0.0013636,              0.0013636
                      4,                 1.7898,                 1.4366,                 1.5151,                0.83711,                  0.875,                0.88267,                0.40012,                 1.8208,                 1.2438,                 1.6765,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.6797,                 1.2957,                 1.4433,                0.94825,                0.91616,                0.97548,                0.51348,                 1.6426,                 1.0882,                 1.5484,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.6154,                 1.1668,                 1.3843,                0.95343,                0.89167,                0.95801,                0.50994,                 1.5655,                 1.1512,                 1.4814,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.5763,                 1.0876,                 1.3463,                0.94469,                0.90833,                0.97928,                0.52486,                 1.5232,                0.91484,                 1.4674,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.5132,                 1.0261,                 1.3022,                 0.9485,                0.92088,                 0.9729,                0.56979,                 1.4352,                0.86187,                   1.38,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.4914,                 1.0058,                 1.2973,                0.96243,                0.91667,                0.97203,                0.49464,                 1.5641,                0.86786,                 1.4903,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.4702,                0.96097,                 1.2754,                0.99052,                   0.95,                0.98252,                0.56206,                 1.4464,                0.80406,                 1.3759,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.4164,                 0.8981,                 1.2443,                0.99142,                0.96332,                0.98489,                0.55908,                 1.4646,                0.75392,                 1.3821,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.4288,                0.91973,                 1.2554,                0.97094,                0.96667,                0.99064,                0.59211,                 1.3955,                0.70711,                 1.3365,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.3852,                 0.8565,                 1.2274,                0.97315,                0.90604,                0.98182,                 0.5901,                 1.3862,                0.69564,                 1.3299,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.3604,                0.84727,                 1.2156,                0.98274,                0.94895,                 0.9895,                0.59399,                 1.3854,                0.69207,                  1.329,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.3322,                0.81818,                 1.2027,                0.99799,                0.96667,                0.99372,                0.62987,                 1.3402,                0.63747,                 1.3025,              0.0010612,              0.0010612,              0.0010612
                     16,                 1.3319,                0.80389,                 1.1991,                0.98356,                0.99744,                0.99467,                0.62181,                 1.3316,                0.62344,                 1.2765,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.3119,                0.79563,                 1.1876,                 0.9976,                0.98333,                0.99452,                0.60938,                 1.3408,                0.64533,                 1.3087,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.3009,                0.77887,                 1.1755,                0.98202,                0.99167,                0.99475,                0.63826,                  1.275,                0.61042,                 1.2671,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.2754,                0.75951,                 1.1751,                0.99171,                0.99704,                0.99442,                0.61251,                 1.3352,                0.61401,                 1.2821,               0.000948,               0.000948,               0.000948
