                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.2833,                0.75878,                 1.1759,                0.99763,                0.99167,                  0.995,                 0.6252,                 1.2866,                0.63297,                 1.2654,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.2636,                0.74011,                 1.1652,                0.99326,                0.99167,                  0.995,                0.62588,                 1.3001,                0.58934,                 1.2875,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.2533,                0.73182,                 1.1604,                0.98852,                0.98333,                0.99316,                0.63531,                 1.3136,                0.57394,                 1.2871,             0.00086312,             0.00086312,             0.00086312
                     23,                 1.2633,                0.73538,                 1.1651,                 0.9801,                0.99167,                 0.9945,                0.63567,                  1.293,                0.57901,                 1.2652,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.2333,                0.73438,                 1.1466,                0.98341,                0.98785,                0.99433,                0.62893,                 1.2935,                0.62534,                 1.2879,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.2232,                0.71423,                 1.1436,                0.98279,                  0.952,                0.99225,                0.63531,                 1.2602,                0.58933,                 1.2444,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.2142,                0.70559,                 1.1456,                0.99152,                0.97409,                0.99419,                0.65509,                 1.2678,                0.58015,                 1.2563,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.2044,                0.69151,                 1.1367,                0.99647,                0.99167,                  0.995,                0.61312,                 1.3342,                0.57588,                 1.3009,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.2052,                0.69456,                 1.1429,                0.99369,                  0.975,                0.99467,                0.64402,                 1.2905,                0.57424,                 1.2658,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.2167,                0.67969,                 1.1405,                0.99168,                0.99308,                  0.995,                0.67001,                 1.2236,                0.53594,                  1.243,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.1861,                0.67351,                 1.1243,                      1,                0.99814,                  0.995,                 0.6687,                 1.2025,                0.51723,                 1.2319,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.1947,                0.67122,                 1.1249,                      1,                0.98316,                0.99492,                0.64712,                 1.2334,                0.54197,                 1.2352,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.1701,                0.67208,                 1.1227,                0.99965,                0.99167,                  0.995,                0.65789,                 1.2376,                0.52837,                 1.2433,             0.00058017,             0.00058017,             0.00058017
                     33,                 1.1753,                0.66824,                 1.1199,                0.99808,                  0.975,                0.99467,                0.66343,                 1.2551,                0.53906,                 1.2593,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.1496,                0.64846,                 1.1048,                      1,                0.98174,                0.99475,                0.66449,                 1.2404,                0.53322,                 1.2468,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.1671,                0.65654,                 1.1216,                      1,                0.99084,                  0.995,                0.66495,                 1.2115,                0.51315,                 1.2288,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.1631,                0.63192,                 1.1157,                      1,                 0.9899,                  0.995,                0.68065,                 1.1785,                0.48113,                 1.2128,               0.000467,               0.000467,               0.000467
                     37,                 1.1356,                0.63441,                 1.1007,                0.99893,                0.98333,                0.99483,                0.67108,                 1.2254,                 0.4917,                 1.2276,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.1514,                 0.6281,                 1.1172,                0.99859,                0.99167,                  0.995,                0.66612,                 1.2099,                0.49651,                 1.2336,             0.00041041,             0.00041041,             0.00041041
                     39,                  1.139,                0.62806,                   1.11,                0.99811,                0.99167,                  0.995,                0.65842,                 1.2748,                0.49737,                 1.2597,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.1299,                0.61744,                 1.1005,                0.99962,                0.99167,                  0.995,                0.66293,                 1.2419,                 0.4918,                 1.2394,             0.00035382,             0.00035382,             0.00035382
                     41,                  1.084,                0.57452,                 1.0921,                      1,                 0.9914,                  0.995,                0.66972,                 1.1945,                0.48997,                 1.2221,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.0738,                0.55094,                 1.1023,                0.99403,                0.99167,                  0.995,                0.66791,                 1.1939,                0.47147,                 1.2289,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.0672,                0.54266,                 1.0883,                      1,                0.99127,                  0.995,                 0.6877,                 1.1867,                0.48421,                 1.2166,             0.00026894,             0.00026894,             0.00026894
                     44,                  1.054,                0.54133,                 1.0797,                0.99913,                0.99167,                  0.995,                0.68579,                  1.194,                0.47603,                 1.2206,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.0631,                0.53257,                 1.0843,                      1,                 0.9989,                  0.995,                0.68137,                 1.1648,                0.45711,                 1.2092,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.0468,                0.53624,                 1.0749,                 0.9835,                      1,                0.99475,                0.68285,                 1.1777,                0.49523,                 1.2118,             0.00018406,             0.00018406,             0.00018406
                     47,                  1.038,                0.53077,                 1.0648,                0.98853,                      1,                0.99492,                0.68483,                 1.1612,                0.47003,                 1.2032,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.0287,                  0.524,                 1.0699,                      1,                0.99117,                  0.995,                0.69286,                 1.1558,                0.46884,                 1.2035,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.0209,                 0.5184,                  1.065,                0.99762,                0.98333,                0.99492,                0.69467,                 1.1694,                0.46852,                 1.2094,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.0187,                0.51713,                 1.0716,                      1,                0.99066,                  0.995,                0.69444,                 1.1545,                0.45203,                 1.2057,             7.0878e-05,             7.0878e-05,             7.0878e-05
